# Motor's data
#time	X	Xenc	Vx	Y	Yenc	Vy
Send short command
  13303.19	498304	54650237	5641.4	660460	47372412	-9664.9
  13373.17	498816	54650237	7316.6	659711	47361345	-10703.4
  13443.17	499360	54650237	7770.3	658757	47346256	-13626.6
  13513.06	499739	54650237	5423.6	657616	47327322	-16328.0
  13583.08	499955	54650237	3084.7	656236	47303304	-19707.5
  13655.18	500000	54650237	624.1	654619	47276259	-22427.5
  13726.26	500000	54650237	0.0	652752	47261344	-26265.0
  13798.17	500000	54650237	0.0	650714	47227967	-28340.6
  13868.11	500000	54650237	0.0	648390	47190361	-33227.5
  13940.23	500000	54650237	0.0	645918	47148884	-34279.1
  14012.23	500000	54650237	0.0	643167	47103676	-38213.0
  14082.23	500000	54650237	0.0	640163	47054992	-42910.1
  14153.09	500000	54650237	0.0	637023	47027434	-44312.0
  14224.13	500000	54650237	0.0	633635	46971536	-47690.1
  14295.08	500000	54650237	0.0	630023	46912563	-50906.3
  14366.06	500000	54650237	0.0	626501	46853184	-49618.2
  14437.97	500000	54650237	0.0	623163	46796212	-46421.7
  14507.91	500000	54650237	0.0	620040	46770651	-44652.5
  14578.13	500000	54650237	0.0	617192	46720784	-40557.1
  14649.02	500000	54650237	0.0	614571	46675824	-36971.2
  14719.00	500000	54650237	0.0	612137	46633697	-34782.4
  14790.15	500000	54650237	0.0	609967	46597060	-30498.5
  14862.12	500000	54650237	0.0	607957	46563570	-27933.8
  14932.07	500000	54650237	0.0	606159	46548481	-25701.5
  15003.06	500000	54650237	0.0	604609	46521327	-21831.6
  15074.08	500000	54650237	0.0	603289	46497742	-18587.6
  15144.17	500000	54650237	0.0	602170	46478563	-15965.9
  15214.98	500000	54650237	0.0	601305	46463679	-12215.6
  15284.90	500000	54650237	0.0	600642	46457605	-9481.3
  15355.01	500000	54650237	0.0	600207	46448898	-6205.4
  15426.00	500000	54650237	0.0	599985	46444326	-3126.9
  15496.01	500000	54650237	0.0	599990	46444087	71.4
  15565.85	500000	54650237	0.0	599990	46444035	0.0
  15635.82	500000	54650237	0.0	599991	46444034	14.3
  15706.88	500000	54650237	0.0	599991	46444033	0.0
  15776.82	500000	54650237	0.0	599991	46444022	0.0
  15846.82	500000	54650237	0.0	599991	46444022	0.0
Send long command
  16131.76	499414	54650237	-6096.5	599054	46432705	-10048.0
  16201.78	498878	54650237	-7655.6	598288	46420698	-10940.7
  16272.79	498181	54650237	-9814.4	597315	46404769	-13700.8
  16343.78	497308	54650237	-12297.2	596112	46384782	-16945.6
  16414.63	496267	54650237	-14693.6	594681	46373403	-20198.4
  16485.66	495078	54650237	-16740.8	593030	46346714	-23245.7
  16556.65	493700	54650237	-19409.3	591170	46316243	-26198.3
  16626.71	492150	54650237	-22124.5	589065	46282021	-30046.5
  16698.68	490492	54650237	-23037.1	586787	46243756	-31651.7
  16770.52	488593	54650237	-26433.0	584218	46201674	-35759.0
  16840.52	486529	54650237	-29485.2	581499	46179979	-38842.2
  16911.46	484354	54650237	-30662.0	578541	46130642	-41700.3
  16982.52	482046	54650237	-32477.7	575343	46078292	-45001.5
  17052.52	479510	54650237	-36229.1	571898	46021592	-49215.0
  17123.55	476842	54650237	-37560.6	568330	45961068	-50231.0
  17193.56	473952	54650237	-41281.0	564449	45896595	-55436.5
  17263.58	470973	54650237	-42543.1	560409	45862243	-57695.3
  17335.53	467810	54650237	-43966.6	556266	45791085	-57588.9
  17405.49	464397	54650237	-48783.6	551976	45720984	-61319.0
  17475.53	460914	54650237	-49729.4	547776	45649988	-59966.6
  17545.57	457269	54650237	-52037.3	543638	45579416	-59075.5
  17616.50	453463	54650237	-53660.0	539446	45543487	-59102.1
  17687.50	449418	54650237	-56971.8	535222	45472384	-59492.9
  17759.55	445244	54650237	-57936.9	530968	45402024	-59047.3
  17831.41	440932	54650237	-60003.9	526697	45330704	-59433.4
  17902.45	436674	54650237	-59937.1	522394	45260321	-60570.6
  17974.42	432430	54650237	-58969.0	518180	45189210	-58552.2
  18045.43	428105	54650237	-60905.2	513883	45153563	-60510.9
  18117.42	423873	54650237	-58785.2	509641	45083156	-58924.1
  18189.41	419603	54650237	-59310.6	505378	45011833	-59213.4
  18260.41	415305	54650237	-60541.0	501074	44941371	-60625.5
  18332.29	411098	54650237	-58523.4	496843	44870325	-58857.2
  18404.29	406801	54650237	-59683.7	492542	44799294	-59739.3
  18474.42	402518	54650237	-61069.7	488237	44764352	-61383.4
  18546.29	398321	54650237	-58396.5	484095	44693048	-57631.2
  18617.26	394020	54650237	-60608.9	479796	44622609	-60580.7
  18688.31	389822	54650237	-59079.3	475597	44551752	-59093.3
  18759.37	385581	54650237	-59682.8	471356	44480519	-59682.8
  18831.32	381332	54650237	-59056.7	467106	44410023	-59070.6
  18903.32	377052	54650237	-59442.7	462825	44374362	-59456.5
  18974.35	372760	54650237	-60426.1	458528	44303795	-60496.5
  19046.31	368506	54650237	-59117.0	454282	44232986	-59005.8
  19118.29	364248	54650237	-59157.9	449997	44161769	-59533.0
  19189.31	359934	54650237	-60743.3	445703	44091235	-60461.7
  19261.19	355712	54650237	-58736.9	441458	44020045	-59056.9
  19332.18	351422	54650237	-60427.5	437193	43984937	-60075.4
  19404.29	347175	54650237	-58901.8	432950	43914065	-58846.4
  19475.19	342875	54650237	-60645.6	428652	43842798	-60617.4
  19547.36	338680	54650237	-58123.4	424427	43772518	-58539.0
  19618.22	334365	54650237	-60900.7	420129	43701253	-60660.8
  19688.31	330148	54650237	-60158.5	415897	43630749	-60372.5
  19759.28	325990	54650237	-58589.9	411734	43595366	-58660.3
  19830.34	321736	54650237	-59871.6	407505	43523993	-59519.7
  19902.21	317482	54650237	-59187.8	403260	43453664	-59062.6
  19974.27	313226	54650237	-59058.7	398970	43382500	-59530.5
  20045.35	308930	54650237	-60446.7	394670	43312027	-60503.0
  20116.33	304671	54650237	-60000.1	390438	43241065	-59619.8
  20188.32	300465	54650237	-58421.5	386228	43205317	-58477.0
  20259.33	296162	54650237	-60597.2	381910	43135048	-60808.4
  20329.35	291909	54650237	-60736.3	377685	43063716	-60336.4
  20400.39	287774	54650237	-58211.6	373519	42993191	-58648.0
  20471.33	283528	54650237	-59847.5	369300	42922673	-59467.0
  20541.34	279284	54650237	-60623.3	365056	42851557	-60623.3
  20612.36	275098	54650237	-58942.8	360869	42816352	-58956.9
  20684.33	270883	54650237	-58569.4	356652	42745135	-58597.2
  20756.25	266580	33057240	-59827.1	352349	42666083	-59827.1
  20828.38	262327	33057240	-58957.9	348072	42595149	-59290.6
  20898.22	258007	33057240	-61859.3	343778	42559373	-61487.0
  20970.35	253831	33057240	-57896.3	339602	42488934	-57896.3
  21041.36	249523	33057240	-60668.4	335323	42417665	-60260.0
  21111.23	245330	33057240	-60013.9	331075	42347376	-60801.1
  21181.16	241128	33057240	-60080.2	326900	42276464	-59694.1
  21252.23	236994	33057240	-58167.8	322713	42205173	-58913.6
  21323.38	232744	33057240	-59734.7	318515	42170159	-59003.8
  21393.36	228489	33057240	-60808.3	314272	42099029	-60636.9
